city,state_id,state,county,lat,lng,population,density
New York,NY,New York,Queens,40.6943,-73.9249,18972871,10768.2
Los Angeles,CA,California,Los Angeles,34.1141,-118.4068,12121244,3267.6
Chicago,IL,Illinois,Cook,41.8375,-87.6866,8595181,4576.6
Miami,FL,Florida,Miami-Dade,25.784,-80.2101,5711945,4945.7
Dallas,TX,Texas,Dallas,32.7935,-96.7667,5668165,1522.2
Houston,TX,Texas,Harris,29.786,-95.3885,5650910,1394.6
Philadelphia,PA,Pennsylvania,Philadelphia,40.0077,-75.1339,5512873,4544.9
Atlanta,GA,Georgia,Fulton,33.7628,-84.422,5046555,1419.9
Washington,DC,District of Columbia,District of Columbia,38.9047,-77.0163,4810669,4434.0
Boston,MA,Massachusetts,Suffolk,42.3188,-71.0852,4208580,5505.8
Phoenix,AZ,Arizona,Maricopa,33.5722,-112.0892,4047095,1235.5
Detroit,MI,Michigan,Wayne,42.3834,-83.1024,3522856,1871.2
Seattle,WA,Washington,King,47.6211,-122.3244,3438221,3412.2
San Francisco,CA,California,San Francisco,37.7558,-122.4449,3290197,7199.4
San Diego,CA,California,San Diego,32.8313,-117.1222,3084174,1675.9
Minneapolis,MN,Minnesota,Hennepin,44.9635,-93.2678,2856952,3035.5
Brooklyn,NY,New York,Kings,40.6501,-73.9496,2736074,15200.5
Tampa,FL,Florida,Hillsborough,27.9945,-82.4447,2683956,1340.7
Denver,CO,Colorado,Denver,39.762,-104.8758,2650725,1805.7
Queens,NY,New York,Queens,40.7498,-73.7976,2405464,8503.7
Baltimore,MD,Maryland,Baltimore,39.3051,-76.6144,2205092,2872.8
Las Vegas,NV,Nevada,Clark,36.2333,-115.2654,2150373,1754.7
St. Louis,MO,Missouri,St. Louis,38.6359,-90.2451,2092481,1905.7
Portland,OR,Oregon,Multnomah,45.5371,-122.65,2036875,1881.6
Riverside,CA,California,Riverside,33.9381,-117.3949,2022285,1557.0
Orlando,FL,Florida,Orange,28.4773,-81.337,1927699,992.0
Sacramento,CA,California,Sacramento,38.5677,-121.4685,1924167,1971.3
San Juan,PR,Puerto Rico,San Juan,18.3985,-66.061,1915105,2982.2
San Antonio,TX,Texas,Bexar,29.4632,-98.5238,1910785,1184.5
San Jose,CA,California,Santa Clara,37.3012,-121.848,1729879,2229.0
Pittsburgh,PA,Pennsylvania,Allegheny,40.4397,-79.9763,1720279,2100.7
Cincinnati,OH,Ohio,Hamilton,39.1413,-84.506,1712287,1500.2
Manhattan,NY,New York,New York,40.7834,-73.9662,1694263,28653.9
Cleveland,OH,Ohio,Cuyahoga,41.4764,-81.6805,1683059,1904.0
Indianapolis,IN,Indiana,Marion,39.7771,-86.1458,1659305,928.2
Austin,TX,Texas,Travis,30.3005,-97.7522,1659251,1165.6
Kansas City,MO,Missouri,Jackson,39.1238,-94.5541,1644497,602.6
Columbus,OH,Ohio,Franklin,39.9862,-82.9855,1556848,1559.5
